Losses_10,Losses_20,Losses_30,Losses_40,Losses_50,Losses_60,Losses_70,Losses_80,Losses_90,Losses_100,Subj,Study
-600,-2200,-2250,-2900,-4500,-5150,-6750,-6800,-8350,-9950,1,Horstmann
-50,-200,-2000,-3900,-4250,-4300,-5150,-6450,-6750,-8250,2,Horstmann
-1650,-2000,-2400,-3050,-4550,-5000,-6250,-6850,-8350,-8600,3,Horstmann
-1750,-2100,-2200,-2550,-3900,-4100,-4400,-4950,-5550,-5650,4,Horstmann
-1300,-2350,-2650,-3900,-4700,-5000,-5150,-5700,-7300,-8600,5,Horstmann
-1600,-1800,-3050,-3300,-6000,-6250,-7500,-9100,-10350,-10500,6,Horstmann
-350,-650,-2500,-2700,-4450,-5100,-5150,-5450,-6700,-7250,7,Horstmann
-350,-850,-1250,-1700,-3500,-5300,-5700,-6500,-8050,-8600,8,Horstmann
-450,-700,-2400,-2950,-4700,-5100,-5700,-6950,-6950,-6950,9,Horstmann
-1800,-1900,-3150,-3450,-4050,-4300,-5800,-6050,-8000,-8300,10,Horstmann
-250,-1850,-2100,-3000,-4650,-4900,-6850,-7000,-7200,-7750,11,Horstmann
-450,-950,-3450,-3700,-4050,-4700,-6000,-6500,-6800,-7100,12,Horstmann
-1900,-3150,-3200,-3350,-3650,-4950,-4950,-5400,-7050,-7050,13,Horstmann
-1600,-2100,-3350,-5150,-5450,-5500,-5750,-6300,-7650,-7700,14,Horstmann
-350,-1850,-2150,-3900,-4500,-4550,-6050,-6100,-6650,-7500,15,Horstmann
-1600,-1600,-3150,-3150,-3550,-5200,-5550,-5850,-6100,-6350,16,Horstmann
-1250,-2550,-2550,-3850,-5250,-6500,-8100,-8350,-8800,-10500,17,Horstmann
-1600,-1850,-2100,-3500,-3500,-5000,-6250,-6850,-7100,-8350,18,Horstmann
-650,-2350,-2650,-4200,-4200,-4600,-6200,-7850,-8300,-8350,19,Horstmann
-1450,-1750,-3650,-3700,-3950,-4000,-5300,-5400,-6900,-6950,20,Horstmann
-850,-1550,-2050,-4050,-4150,-4600,-6250,-6450,-7700,-8450,21,Horstmann
-250,-1550,-2850,-3400,-5000,-5400,-5750,-7250,-7300,-7400,22,Horstmann
-1700,-1700,-2150,-2400,-3950,-3950,-5200,-6000,-7500,-8450,23,Horstmann
0,-600,-2100,-2750,-4200,-5500,-5650,-6000,-6650,-7250,24,Horstmann
-1250,-1400,-1800,-2500,-4500,-4900,-5200,-5400,-5600,-5850,25,Horstmann
-1950,-2550,-2900,-3250,-3350,-3450,-3800,-3850,-4400,-4800,26,Horstmann
-600,-900,-2400,-2750,-4350,-5500,-5600,-5900,-7800,-8450,27,Horstmann
-250,-1750,-2550,-2650,-2900,-4150,-4800,-5050,-5050,-6550,28,Horstmann
-650,-2550,-3150,-3700,-5200,-5450,-6000,-6050,-7650,-8250,29,Horstmann
