Wins_10,Wins_20,Wins_30,Wins_40,Wins_50,Wins_60,Wins_70,Wins_80,Wins_90,Wins_100,Subj,Study
850,1600,2350,3100,3950,4700,5650,6400,7250,8150,1,Horstmann
800,1600,2350,3100,3850,4500,5300,6000,6750,7450,2,Horstmann
650,1500,2350,3250,4050,4900,5750,6550,7300,8150,3,Horstmann
750,1400,2050,2700,3400,4200,4900,5600,6250,6850,4,Horstmann
850,1600,2400,3150,4000,4700,5200,5800,6600,7300,5,Horstmann
800,1600,2500,3450,4450,5450,6400,7400,8350,9300,6,Horstmann
750,1600,2350,3000,3750,4550,5350,6050,6950,7650,7,Horstmann
750,1500,2150,2850,3750,4550,5350,6050,6800,7600,8,Horstmann
750,1600,2300,3150,3850,4600,5350,6350,7150,7650,9,Horstmann
650,1500,2400,3150,3900,4750,5600,6500,7250,8200,10,Horstmann
800,1650,2450,3250,3950,4700,5450,6200,7000,7800,11,Horstmann
600,1250,2250,2900,3650,4400,5200,5850,6500,7250,12,Horstmann
850,1850,2650,3350,3950,4550,5250,5850,6500,7000,13,Horstmann
750,1750,2750,3400,3900,4650,5400,6200,6750,7500,14,Horstmann
850,1600,2300,3050,3750,4550,5250,6050,6750,7550,15,Horstmann
850,1850,2450,2950,3900,4850,5500,6000,6500,7000,16,Horstmann
1000,1800,2650,3550,4400,5400,6300,7100,8050,9000,17,Horstmann
850,1350,2100,2900,3600,4500,5250,6100,6850,7500,18,Horstmann
800,1650,2450,3200,4100,4900,5650,6450,7300,8100,19,Horstmann
800,1500,2350,3100,3750,4450,5200,5900,6600,7400,20,Horstmann
700,1450,2300,3100,3800,4450,5250,6150,6950,7700,21,Horstmann
750,1650,2400,3250,4150,4950,5800,6550,7350,8000,22,Horstmann
700,1350,2050,2750,3550,4250,4950,5750,6550,7550,23,Horstmann
900,1650,2400,3150,3950,4700,5400,6150,6850,7600,24,Horstmann
950,1750,2600,3250,4000,4650,5150,5700,6250,6800,25,Horstmann
800,1350,1850,2350,2850,3350,3950,4600,5300,5900,26,Horstmann
700,1450,2250,3100,4050,5000,5700,6500,7250,8150,27,Horstmann
800,1650,2250,2950,3450,4150,4850,5550,6100,6750,28,Horstmann
800,1600,2400,3200,4050,4900,5650,6450,7150,7950,29,Horstmann
800,1700,2450,3200,3900,4650,5350,6200,6900,7700,30,Horstmann
900,1600,2350,3150,4150,4850,5350,5850,6350,6850,31,Horstmann
850,1500,2250,3000,3800,4600,5500,6350,6950,7450,32,Horstmann
750,1250,1750,2500,3000,3700,4550,5300,6050,6800,33,Horstmann
900,1750,2650,3450,4300,5150,5850,6700,7450,8200,34,Horstmann
750,1500,2300,3050,3850,4600,5400,6100,6800,7500,35,Horstmann
900,1900,2550,3500,4250,5000,5900,6800,7600,8400,36,Horstmann
750,1650,2450,3250,4000,4600,5300,6050,6900,7750,37,Horstmann
650,1350,2350,3350,4250,5150,6000,6950,7850,8500,38,Horstmann
600,1500,2300,2900,3800,4700,5700,6700,7700,8400,39,Horstmann
700,1600,2450,3050,3750,4400,5100,5750,6300,6850,40,Horstmann
850,1750,2350,3250,3850,4500,5000,5500,6050,6850,41,Horstmann
800,1550,2450,3200,4050,4850,5500,6350,7200,8100,42,Horstmann
