,Losses_10,Losses_20,Losses_30,Losses_40,Losses_50,Losses_60,Losses_70,Losses_80,Losses_90,Losses_100,Subj,Study
162,-50.0,-200.0,-1600.0,-1800.0,-275.0,-2800.0,-550.0,-450.0,-575.0,-2650.0,163,Kjome
163,0.0,-1450.0,-350.0,-350.0,-2700.0,0.0,-2300.0,-750.0,-275.0,-625.0,164,Kjome
164,-450.0,-50.0,-1500.0,-300.0,-1800.0,-500.0,-2075.0,-425.0,-300.0,-2000.0,165,Kjome
165,-150.0,-1600.0,0.0,-2050.0,-100.0,-350.0,-2400.0,-100.0,-625.0,-400.0,166,Kjome
166,-650.0,-250.0,-275.0,-300.0,-425.0,-250.0,-2750.0,-350.0,-375.0,-750.0,167,Kjome
167,-50.0,-200.0,-300.0,-1250.0,-675.0,-500.0,-425.0,-625.0,-500.0,-1500.0,168,Kjome
168,-650.0,-250.0,-275.0,-300.0,-425.0,-250.0,-2750.0,-350.0,-375.0,-1750.0,169,Kjome
169,-200.0,-1250.0,-250.0,-500.0,-1700.0,-625.0,-1775.0,-650.0,-675.0,-350.0,170,Kjome
170,-150.0,-50.0,-1600.0,-2000.0,-600.0,-1850.0,-725.0,-250.0,-2250.0,-575.0,171,Kjome
171,-100.0,-1700.0,-250.0,-275.0,-350.0,-1700.0,-350.0,-2475.0,-100.0,-2800.0,172,Kjome
172,-150.0,-1300.0,-600.0,-250.0,-1800.0,-675.0,-1000.0,-175.0,-625.0,-525.0,173,Kjome
173,-150.0,-1600.0,-250.0,-2050.0,-400.0,-1800.0,-650.0,-550.0,-100.0,-650.0,174,Kjome
174,-650.0,-950.0,-2000.0,-2150.0,-2450.0,-650.0,-400.0,-675.0,-2400.0,-500.0,175,Kjome
175,-250.0,-550.0,-1350.0,-350.0,-2125.0,-500.0,-100.0,-425.0,-650.0,-250.0,176,Kjome
176,-150.0,-250.0,-300.0,-275.0,-1800.0,-575.0,-350.0,0.0,-2275.0,-250.0,177,Kjome
177,-150.0,-1600.0,-250.0,-2150.0,-700.0,-100.0,-575.0,-350.0,-150.0,-450.0,178,Kjome
178,0.0,-1450.0,-350.0,-350.0,-2700.0,0.0,-2300.0,-750.0,-275.0,-625.0,179,Kjome
179,-200.0,-600.0,-350.0,-1625.0,-450.0,-675.0,-1825.0,-175.0,-800.0,-250.0,180,Kjome
180,-200.0,-1100.0,-650.0,-600.0,-1725.0,-2075.0,-350.0,-625.0,-2075.0,-950.0,181,Kjome
