Wins_10,Wins_20,Wins_30,Wins_40,Wins_50,Wins_60,Wins_70,Wins_80,Wins_90,Wins_100,Subj,Study
830,1595,2300,3120,4060,4915,5785,6615,7515,8440,163,Kjome
780,1640,2265,2955,4015,4700,5690,6535,7215,8240,164,Kjome
890,1575,2305,2990,3780,4535,5370,6300,7200,8180,165,Kjome
900,1705,2355,3060,3830,4615,5500,6075,6810,7550,166,Kjome
950,1450,2000,2600,3195,4080,5015,5720,6515,7665,167,Kjome
675,1360,1950,2725,3350,4060,4850,5500,6155,7070,168,Kjome
950,1450,2000,2600,3195,4080,5015,5720,6515,7665,169,Kjome
560,1470,2100,2895,3590,4515,5270,5925,6990,7805,170,Kjome
725,1475,2310,3140,4035,4800,5665,6700,7540,8420,171,Kjome
715,1725,2225,2775,3365,4280,5135,6240,7085,8110,172,Kjome
870,1640,2260,3020,3730,4360,5125,5740,6440,7220,173,Kjome
790,1705,2475,3195,3945,4760,5615,6500,7215,7950,174,Kjome
980,2050,3050,4120,5100,6095,6940,7775,8550,9540,175,Kjome
710,1460,2280,3030,3760,4415,5000,5590,6295,7055,176,Kjome
645,1405,2070,2770,3465,4290,4975,5710,6485,7130,177,Kjome
770,1760,2465,3285,3945,4590,5300,6015,6595,7280,178,Kjome
780,1640,2265,2955,4015,4700,5690,6535,7215,8240,179,Kjome
770,1535,2245,3055,3660,4460,5130,5855,6645,7350,180,Kjome
730,1630,2470,3235,4110,4925,5825,6650,7600,8640,181,Kjome
