,Losses_10,Losses_20,Losses_30,Losses_40,Losses_50,Losses_60,Losses_70,Losses_80,Losses_90,Losses_100,Subj,Study
181,-150.0,-1250.0,-300.0,-500.0,-250.0,-925.0,-1375.0,-525.0,-1025.0,-300.0,182,Maia
182,0.0,-1750.0,-200.0,-1250.0,-300.0,-1550.0,-800.0,-100.0,-175.0,-250.0,183,Maia
183,0.0,-1700.0,-250.0,-950.0,-200.0,-1125.0,-1375.0,-200.0,-300.0,-250.0,184,Maia
184,-150.0,-2500.0,-450.0,-200.0,-200.0,-1850.0,-450.0,-250.0,-425.0,-325.0,185,Maia
185,-50.0,-1400.0,-1600.0,-50.0,-450.0,-1450.0,-600.0,-750.0,-300.0,-400.0,186,Maia
186,-150.0,-1300.0,-1250.0,-600.0,-950.0,-1850.0,-450.0,-250.0,-250.0,-250.0,187,Maia
187,-150.0,-1550.0,-250.0,-2050.0,-250.0,-150.0,-500.0,-300.0,-175.0,-250.0,188,Maia
188,-100.0,-250.0,-150.0,-250.0,-550.0,-1250.0,-1950.0,-250.0,-1250.0,-25.0,189,Maia
189,-150.0,-1550.0,-1500.0,-600.0,-1900.0,-100.0,-600.0,-1250.0,-100.0,-1250.0,190,Maia
190,-200.0,0.0,-1600.0,-500.0,-1950.0,-375.0,-1775.0,-700.0,-325.0,-425.0,191,Maia
191,-150.0,-550.0,-1600.0,-1950.0,-500.0,-50.0,-1500.0,-450.0,-250.0,-450.0,192,Maia
192,-150.0,-1300.0,-550.0,-400.0,-1950.0,-225.0,-225.0,-300.0,-250.0,-225.0,193,Maia
193,-1250.0,-650.0,-300.0,-250.0,-250.0,-250.0,-250.0,-250.0,-250.0,-250.0,194,Maia
194,-500.0,0.0,-1500.0,-1750.0,-500.0,-125.0,-450.0,-975.0,-250.0,-250.0,195,Maia
195,0.0,-200.0,-2550.0,-600.0,-550.0,-250.0,-250.0,-250.0,-250.0,-550.0,196,Maia
196,-50.0,-1700.0,-200.0,-2150.0,-400.0,-500.0,-1250.0,-250.0,-2000.0,0.0,197,Maia
197,-650.0,-1250.0,-2500.0,-1250.0,-1200.0,-250.0,-250.0,-250.0,-250.0,-250.0,198,Maia
198,-1250.0,-1400.0,-350.0,-450.0,-1850.0,-550.0,-850.0,-800.0,-1050.0,-375.0,199,Maia
199,-150.0,-1350.0,-300.0,-250.0,-500.0,-1550.0,-250.0,-500.0,0.0,-250.0,200,Maia
200,-150.0,-1600.0,-2050.0,-50.0,-650.0,-350.0,-25.0,-475.0,-1250.0,-900.0,201,Maia
201,-250.0,-250.0,-100.0,-100.0,-1775.0,-225.0,-250.0,-850.0,-1250.0,-725.0,202,Maia
202,-150.0,-350.0,-250.0,-1800.0,-1700.0,-375.0,-1575.0,-275.0,-575.0,-250.0,203,Maia
203,-150.0,-1300.0,-600.0,-2050.0,-100.0,-175.0,-250.0,-250.0,-275.0,-225.0,204,Maia
204,-150.0,-1300.0,-750.0,-1700.0,-650.0,-525.0,-525.0,-1550.0,-550.0,-650.0,205,Maia
205,-450.0,-50.0,-2050.0,-250.0,-400.0,-250.0,-250.0,-250.0,-225.0,-275.0,206,Maia
206,-1250.0,-200.0,-300.0,-475.0,-1475.0,-200.0,-175.0,-175.0,-450.0,-300.0,207,Maia
207,-150.0,-50.0,-1600.0,-600.0,-1275.0,-175.0,-300.0,-725.0,-150.0,-400.0,208,Maia
208,-150.0,-400.0,-1500.0,-1700.0,-100.0,-375.0,-1700.0,-1600.0,-1325.0,-250.0,209,Maia
209,-1250.0,-450.0,-300.0,-250.0,-250.0,-500.0,0.0,-250.0,-250.0,-500.0,210,Maia
210,-150.0,-350.0,-1300.0,-1250.0,-2000.0,0.0,-1300.0,-425.0,-675.0,-150.0,211,Maia
211,-150.0,-1250.0,-1800.0,-1850.0,-100.0,-200.0,-1250.0,-150.0,-250.0,-250.0,212,Maia
212,0.0,-700.0,-2500.0,-250.0,-1900.0,-400.0,-1000.0,-350.0,0.0,-1825.0,213,Maia
213,-150.0,-350.0,-1500.0,-400.0,-250.0,-250.0,-250.0,-250.0,-250.0,-250.0,214,Maia
214,-150.0,-1300.0,-400.0,-1600.0,-100.0,-250.0,-500.0,0.0,-250.0,-250.0,215,Maia
215,-50.0,-150.0,-250.0,-2100.0,-700.0,-1700.0,-475.0,-1250.0,-1250.0,-525.0,216,Maia
216,-150.0,-400.0,-250.0,-2200.0,-375.0,-1575.0,-225.0,-1625.0,-75.0,-175.0,217,Maia
217,-150.0,-1300.0,-300.0,-1550.0,-50.0,-1800.0,-1400.0,-1250.0,0.0,-250.0,218,Maia
218,0.0,-1450.0,-1750.0,-600.0,-650.0,-500.0,-450.0,-200.0,-200.0,-300.0,219,Maia
219,0.0,-1450.0,-1550.0,-500.0,-250.0,-250.0,-400.0,-200.0,-375.0,-175.0,220,Maia
220,-150.0,-1550.0,-1500.0,-250.0,-200.0,-850.0,-250.0,-250.0,-1275.0,-100.0,221,Maia
