Wins_10,Wins_20,Wins_30,Wins_40,Wins_50,Wins_60,Wins_70,Wins_80,Wins_90,Wins_100,Subj,Study
800,1800,2350,2950,3450,4150,4900,5550,6300,6800,182,Maia
850,1700,2500,3200,3800,4550,5250,5750,6300,6800,183,Maia
850,1750,2400,3050,3600,4500,5300,5800,6300,6800,184,Maia
900,1850,2500,3100,3750,4600,5150,5650,6300,6850,185,Maia
850,1750,2550,3200,3800,4650,5300,5950,6650,7200,186,Maia
800,1650,2550,3250,3950,4950,5500,6000,6500,7000,187,Maia
900,1800,2350,3350,3850,4350,4850,5350,5850,6350,188,Maia
500,1100,1750,2250,3050,3950,4900,5450,6250,6900,189,Maia
900,1850,2600,3400,4250,4950,5750,6600,7450,8350,190,Maia
700,1550,2300,3050,3800,4600,5350,6150,7000,7800,191,Maia
800,1700,2450,3350,4050,4650,5400,6000,6600,7450,192,Maia
750,1600,2350,3000,3700,4200,4700,5200,5700,6200,193,Maia
950,1850,2350,2850,3350,3850,4350,4850,5350,5850,194,Maia
800,1350,2250,3150,3700,4200,4750,5450,5950,6450,195,Maia
750,1550,2400,3100,3800,4300,4800,5300,5800,6350,196,Maia
750,1700,2450,3200,4000,4750,5750,6250,7000,7900,197,Maia
1000,2000,3000,4000,4800,5300,5800,6300,6800,7300,198,Maia
1000,1850,2650,3350,4300,5000,5800,6650,7500,8100,199,Maia
1000,1600,2350,2850,3350,4050,4650,5300,5800,6300,200,Maia
750,1700,2700,3300,3950,4500,5150,5700,6600,7300,201,Maia
500,1000,1500,2350,3200,3700,4300,5000,5850,6650,202,Maia
750,1450,2250,3050,3800,4500,5200,5850,6550,7150,203,Maia
800,1650,2250,3200,3700,4200,4700,5200,5700,6200,204,Maia
900,1700,2600,3200,3950,4650,5450,6450,7250,7900,205,Maia
950,1650,2550,3050,3550,4050,4550,5050,5550,6050,206,Maia
950,1700,2400,2900,3450,4000,4500,5000,5500,6150,207,Maia
800,1600,2250,2950,3750,4250,4800,5500,6000,6500,208,Maia
800,1650,2500,3500,4000,4500,5500,6500,7300,7800,209,Maia
950,1750,2300,2850,3400,3950,4450,4950,5450,5950,210,Maia
800,1600,2350,3250,4100,4950,5750,6450,7100,7600,211,Maia
900,1800,2650,3600,4300,4950,5900,6550,7050,7550,212,Maia
550,1450,2450,3200,4050,4850,5600,6250,7000,7700,213,Maia
800,1650,2300,2900,3400,3900,4400,4900,5400,5900,214,Maia
900,1600,2200,2950,3450,3950,4450,4950,5450,5950,215,Maia
700,1400,2100,2950,3750,4350,5100,6050,7000,7900,216,Maia
750,1500,2250,2950,3750,4500,5200,5850,6500,7100,217,Maia
900,1600,2200,3200,3750,4450,5450,6450,7400,7900,218,Maia
900,1700,2600,3400,4050,4650,5200,5700,6250,6750,219,Maia
850,1800,2500,3050,3550,4050,4600,5100,5650,6150,220,Maia
900,1900,2800,3300,3900,4500,5000,5500,6400,6950,221,Maia
