,Wins_10,Wins_20,Wins_30,Wins_40,Wins_50,Wins_60,Wins_70,Wins_80,Wins_90,Wins_100,Subj,Study
291,790.0,750.0,890.0,845.0,875.0,1090.0,1085.0,1340.0,1430.0,1310.0,292,Premkumar
292,725.0,775.0,640.0,730.0,835.0,995.0,800.0,770.0,860.0,970.0,293,Premkumar
293,755.0,730.0,810.0,720.0,710.0,785.0,760.0,710.0,850.0,705.0,294,Premkumar
294,900.0,910.0,685.0,655.0,660.0,540.0,630.0,650.0,705.0,730.0,295,Premkumar
295,790.0,915.0,800.0,890.0,600.0,645.0,1045.0,780.0,980.0,1145.0,296,Premkumar
296,805.0,875.0,690.0,650.0,575.0,565.0,670.0,565.0,625.0,665.0,297,Premkumar
297,990.0,650.0,755.0,585.0,1050.0,825.0,635.0,1090.0,1270.0,1390.0,298,Premkumar
298,900.0,715.0,580.0,545.0,610.0,615.0,655.0,745.0,745.0,700.0,299,Premkumar
299,990.0,615.0,655.0,650.0,725.0,755.0,750.0,765.0,710.0,780.0,300,Premkumar
300,620.0,710.0,875.0,660.0,725.0,700.0,620.0,1030.0,1135.0,620.0,301,Premkumar
301,890.0,695.0,515.0,560.0,590.0,640.0,690.0,740.0,580.0,605.0,302,Premkumar
302,695.0,695.0,690.0,765.0,810.0,880.0,755.0,840.0,765.0,865.0,303,Premkumar
303,900.0,840.0,590.0,670.0,550.0,855.0,920.0,745.0,725.0,595.0,304,Premkumar
304,900.0,705.0,605.0,610.0,630.0,685.0,655.0,705.0,730.0,555.0,305,Premkumar
305,990.0,615.0,755.0,635.0,610.0,870.0,730.0,695.0,745.0,1015.0,306,Premkumar
306,620.0,1010.0,840.0,515.0,640.0,715.0,745.0,685.0,740.0,735.0,307,Premkumar
307,880.0,775.0,820.0,765.0,850.0,780.0,630.0,730.0,570.0,720.0,308,Premkumar
308,625.0,680.0,595.0,605.0,665.0,645.0,735.0,760.0,680.0,580.0,309,Premkumar
309,790.0,1010.0,920.0,710.0,800.0,875.0,625.0,970.0,830.0,975.0,310,Premkumar
310,690.0,585.0,735.0,875.0,735.0,605.0,955.0,585.0,630.0,645.0,311,Premkumar
311,870.0,715.0,675.0,745.0,880.0,795.0,840.0,710.0,595.0,630.0,312,Premkumar
312,840.0,670.0,795.0,805.0,620.0,785.0,695.0,690.0,780.0,890.0,313,Premkumar
313,790.0,885.0,725.0,665.0,660.0,605.0,670.0,720.0,725.0,525.0,314,Premkumar
314,820.0,720.0,830.0,875.0,855.0,805.0,780.0,980.0,940.0,885.0,315,Premkumar
315,685.0,555.0,670.0,750.0,690.0,625.0,700.0,720.0,650.0,670.0,316,Premkumar
