,Wins_15,Wins_30,Wins_45,Wins_60,Wins_75,Wins_90,Wins_105,Wins_120,Wins_135,Wins_150,Subj,Study
0,750.0,850.0,850.0,750.0,750.0,900.0,750.0,700.0,750.0,750.0,1,Steingroever2011
1,950.0,1000.0,850.0,800.0,700.0,650.0,950.0,750.0,850.0,850.0,2,Steingroever2011
2,600.0,600.0,950.0,600.0,900.0,600.0,600.0,750.0,500.0,500.0,3,Steingroever2011
3,800.0,850.0,800.0,500.0,500.0,500.0,500.0,500.0,550.0,500.0,4,Steingroever2011
4,650.0,600.0,500.0,600.0,550.0,500.0,500.0,500.0,500.0,500.0,5,Steingroever2011
5,900.0,850.0,1000.0,750.0,650.0,850.0,700.0,650.0,950.0,850.0,6,Steingroever2011
6,700.0,750.0,500.0,950.0,1000.0,550.0,500.0,500.0,550.0,1000.0,7,Steingroever2011
7,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,8,Steingroever2011
8,950.0,1000.0,650.0,700.0,800.0,750.0,750.0,700.0,750.0,650.0,9,Steingroever2011
9,900.0,600.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,10,Steingroever2011
10,950.0,1000.0,500.0,500.0,550.0,500.0,500.0,500.0,500.0,500.0,11,Steingroever2011
11,550.0,850.0,700.0,1000.0,900.0,750.0,1000.0,750.0,700.0,600.0,12,Steingroever2011
12,850.0,750.0,950.0,850.0,500.0,500.0,500.0,500.0,500.0,500.0,13,Steingroever2011
13,950.0,1000.0,950.0,1000.0,950.0,900.0,850.0,1000.0,950.0,950.0,14,Steingroever2011
14,1000.0,800.0,800.0,800.0,750.0,800.0,750.0,800.0,850.0,750.0,15,Steingroever2011
15,700.0,950.0,550.0,800.0,500.0,500.0,500.0,500.0,500.0,500.0,16,Steingroever2011
16,700.0,800.0,1000.0,900.0,650.0,1000.0,750.0,950.0,600.0,650.0,17,Steingroever2011
17,750.0,800.0,800.0,750.0,850.0,750.0,750.0,750.0,750.0,700.0,18,Steingroever2011
18,500.0,900.0,750.0,650.0,750.0,750.0,700.0,650.0,700.0,500.0,19,Steingroever2011
19,1000.0,500.0,750.0,900.0,500.0,650.0,500.0,700.0,700.0,650.0,20,Steingroever2011
20,800.0,650.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,750.0,21,Steingroever2011
21,700.0,850.0,700.0,800.0,850.0,800.0,750.0,700.0,850.0,500.0,22,Steingroever2011
22,900.0,1000.0,800.0,750.0,750.0,950.0,900.0,850.0,900.0,1000.0,23,Steingroever2011
23,850.0,1000.0,1000.0,800.0,1000.0,500.0,550.0,700.0,600.0,500.0,24,Steingroever2011
24,750.0,750.0,800.0,750.0,650.0,700.0,700.0,650.0,650.0,800.0,25,Steingroever2011
25,1000.0,700.0,900.0,800.0,800.0,800.0,750.0,900.0,900.0,900.0,26,Steingroever2011
26,1000.0,850.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,27,Steingroever2011
27,700.0,900.0,1000.0,950.0,700.0,700.0,800.0,900.0,800.0,750.0,28,Steingroever2011
28,900.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,29,Steingroever2011
29,900.0,850.0,1000.0,700.0,650.0,600.0,550.0,900.0,600.0,500.0,30,Steingroever2011
30,1000.0,850.0,850.0,950.0,750.0,850.0,800.0,1000.0,950.0,900.0,31,Steingroever2011
31,1000.0,950.0,1000.0,1000.0,850.0,800.0,900.0,800.0,500.0,500.0,32,Steingroever2011
32,750.0,750.0,900.0,800.0,700.0,700.0,750.0,800.0,850.0,650.0,33,Steingroever2011
33,750.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,34,Steingroever2011
34,900.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,35,Steingroever2011
35,1000.0,550.0,800.0,650.0,800.0,600.0,950.0,800.0,850.0,850.0,36,Steingroever2011
36,600.0,850.0,600.0,700.0,750.0,950.0,500.0,500.0,500.0,550.0,37,Steingroever2011
37,650.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,38,Steingroever2011
38,900.0,850.0,700.0,800.0,700.0,800.0,500.0,700.0,650.0,550.0,39,Steingroever2011
39,850.0,700.0,800.0,750.0,700.0,950.0,700.0,750.0,700.0,800.0,40,Steingroever2011
40,750.0,800.0,850.0,750.0,850.0,1000.0,750.0,650.0,650.0,750.0,41,Steingroever2011
41,950.0,800.0,1000.0,600.0,900.0,750.0,500.0,500.0,500.0,500.0,42,Steingroever2011
42,800.0,700.0,700.0,750.0,750.0,800.0,600.0,800.0,850.0,700.0,43,Steingroever2011
43,600.0,750.0,950.0,800.0,850.0,850.0,700.0,550.0,500.0,500.0,44,Steingroever2011
44,1000.0,800.0,800.0,950.0,900.0,950.0,900.0,650.0,800.0,950.0,45,Steingroever2011
45,500.0,500.0,500.0,500.0,600.0,500.0,500.0,550.0,500.0,500.0,46,Steingroever2011
46,650.0,700.0,750.0,750.0,700.0,850.0,750.0,650.0,700.0,850.0,47,Steingroever2011
47,750.0,800.0,700.0,800.0,700.0,750.0,800.0,750.0,750.0,750.0,48,Steingroever2011
48,800.0,750.0,900.0,850.0,800.0,850.0,750.0,850.0,700.0,650.0,49,Steingroever2011
49,900.0,850.0,950.0,850.0,900.0,850.0,900.0,750.0,650.0,850.0,50,Steingroever2011
50,1000.0,550.0,750.0,700.0,750.0,850.0,800.0,750.0,700.0,600.0,51,Steingroever2011
51,600.0,700.0,850.0,700.0,500.0,500.0,500.0,500.0,500.0,500.0,52,Steingroever2011
52,750.0,850.0,950.0,850.0,700.0,850.0,600.0,500.0,800.0,800.0,53,Steingroever2011
53,850.0,750.0,550.0,1000.0,700.0,800.0,750.0,750.0,800.0,650.0,54,Steingroever2011
54,700.0,500.0,700.0,700.0,500.0,500.0,500.0,500.0,500.0,500.0,55,Steingroever2011
55,900.0,1000.0,1000.0,900.0,900.0,800.0,1000.0,500.0,750.0,950.0,56,Steingroever2011
56,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,57,Steingroever2011
