Losses_10,Losses_20,Losses_30,Losses_40,Losses_50,Losses_60,Losses_70,Losses_80,Losses_90,Losses_100,Subj,Study
-50,-500,-2500,-4100,-4350,-4550,-6400,-6450,-6800,-7600,222,SteingroverInPrep
-1900,-3150,-3650,-3950,-4050,-5500,-6000,-6700,-6750,-8550,223,SteingroverInPrep
-1700,-2000,-2250,-2500,-4400,-5000,-5150,-5600,-6850,-7100,224,SteingroverInPrep
0,-1650,-1850,-2100,-2350,-2600,-2850,-3050,-3350,-3550,225,SteingroverInPrep
-1700,-2050,-2300,-3850,-5350,-6650,-7150,-8650,-10000,-10000,226,SteingroverInPrep
-350,-2000,-2400,-3700,-3900,-5600,-7150,-7500,-7500,-9000,227,SteingroverInPrep
-1800,-2200,-2300,-3050,-3050,-4300,-4500,-7000,-8300,-8350,228,SteingroverInPrep
-1850,-2100,-2350,-3950,-3950,-3950,-6700,-6950,-6950,-7200,229,SteingroverInPrep
-1600,-1900,-1950,-2350,-2650,-2850,-3100,-3350,-3550,-3750,230,SteingroverInPrep
-1050,-1250,-2750,-3000,-3250,-3500,-3500,-4000,-4000,-6750,231,SteingroverInPrep
-1600,-2100,-2100,-3350,-4900,-6500,-6500,-8000,-9250,-10500,232,SteingroverInPrep
-1250,-2050,-2750,-3800,-5050,-5400,-5400,-5650,-6100,-6350,233,SteingroverInPrep
-1750,-1950,-3450,-3450,-3750,-5350,-5350,-6000,-6000,-6000,234,SteingroverInPrep
-1500,-2300,-2850,-4150,-5400,-7000,-7200,-7600,-7800,-8000,235,SteingroverInPrep
-350,-1750,-2200,-5050,-5300,-5350,-5750,-7000,-7400,-7950,236,SteingroverInPrep
-200,-1800,-3300,-4550,-4550,-4800,-5100,-5350,-5500,-5750,237,SteingroverInPrep
-200,-1900,-3550,-3800,-5150,-5150,-5400,-5400,-6650,-6750,238,SteingroverInPrep
-200,-1650,-2300,-3050,-3650,-5250,-6750,-8050,-8500,-9150,239,SteingroverInPrep
-1750,-2100,-2700,-4100,-4100,-4350,-4400,-4900,-4900,-5150,240,SteingroverInPrep
-700,-3200,-3450,-3800,-4200,-5700,-5700,-5750,-7250,-7400,241,SteingroverInPrep
-500,-600,-1200,-1750,-3600,-3850,-5350,-6150,-6250,-7800,242,SteingroverInPrep
-350,-1600,-3050,-4550,-4600,-5950,-6700,-6750,-8500,-8550,243,SteingroverInPrep
-1500,-1500,-3050,-3050,-5550,-5600,-8100,-8150,-9450,-10900,244,SteingroverInPrep
-1750,-2350,-2350,-2350,-3850,-3850,-4150,-5400,-6650,-6750,245,SteingroverInPrep
-600,-1850,-3150,-3200,-3750,-3850,-4750,-5150,-5400,-5600,246,SteingroverInPrep
0,-1600,-2900,-4950,-6300,-6450,-7750,-8050,-8250,-8350,247,SteingroverInPrep
-1450,-2350,-2600,-2850,-3050,-3300,-3700,-3850,-4300,-4500,248,SteingroverInPrep
-1600,-1900,-2450,-3950,-5300,-5950,-6250,-7500,-8800,-10250,249,SteingroverInPrep
-1950,-2300,-2650,-2650,-3950,-4150,-5400,-5700,-6100,-6400,250,SteingroverInPrep
-250,-1800,-2150,-3400,-4650,-6200,-6300,-7950,-8150,-9400,251,SteingroverInPrep
-1950,-2350,-2600,-3850,-4100,-4100,-5650,-7450,-7650,-8900,252,SteingroverInPrep
-1700,-2000,-2750,-4000,-5500,-6200,-7450,-8700,-9950,-10200,253,SteingroverInPrep
-100,-400,-1050,-1450,-1700,-1950,-2200,-3700,-3900,-4200,254,SteingroverInPrep
-1950,-2450,-2700,-3100,-3400,-4750,-4800,-6350,-6700,-7300,255,SteingroverInPrep
-1700,-2300,-2900,-3300,-5050,-5250,-5500,-5750,-6050,-6300,256,SteingroverInPrep
-750,-3250,-3250,-4800,-6050,-7300,-7350,-7650,-9000,-10250,257,SteingroverInPrep
-600,-2150,-2350,-2650,-2850,-3100,-3400,-3850,-4150,-4400,258,SteingroverInPrep
-400,-1900,-2300,-3600,-3600,-4150,-5450,-5450,-5700,-5950,259,SteingroverInPrep
-400,-1900,-3550,-4150,-4500,-4500,-4500,-4900,-7000,-7450,260,SteingroverInPrep
-300,-2850,-3400,-4950,-5200,-6550,-8000,-8000,-10500,-10500,261,SteingroverInPrep
-1250,-2500,-2750,-3000,-3250,-3500,-3750,-4000,-4250,-4500,262,SteingroverInPrep
-50,-1700,-3550,-4200,-5500,-5500,-5600,-7150,-7300,-7500,263,SteingroverInPrep
-200,-1100,-2450,-2950,-3200,-4700,-6200,-7150,-7200,-7600,264,SteingroverInPrep
-1700,-1750,-2150,-4850,-5450,-5500,-7050,-7050,-7400,-9000,265,SteingroverInPrep
-1550,-1800,-3300,-3550,-4800,-4800,-5050,-5300,-6550,-7800,266,SteingroverInPrep
-400,-2200,-3100,-4800,-5550,-6350,-6600,-7500,-8300,-8450,267,SteingroverInPrep
-250,-800,-2450,-2500,-5000,-5150,-5400,-6200,-7150,-8600,268,SteingroverInPrep
-250,-2000,-2150,-2350,-2600,-2800,-3100,-3350,-3650,-3850,269,SteingroverInPrep
-300,-3150,-3200,-4450,-5700,-8200,-9450,-9750,-10100,-11750,270,SteingroverInPrep
-400,-1900,-2700,-4300,-5550,-5750,-6000,-6250,-7850,-8500,271,SteingroverInPrep
-200,-3050,-3300,-3500,-4050,-4300,-4550,-5100,-5350,-5550,272,SteingroverInPrep
-1550,-2200,-2400,-3900,-4050,-4200,-4500,-5000,-5050,-5350,273,SteingroverInPrep
-1500,-1550,-1750,-2400,-5450,-5800,-6250,-7750,-8100,-9550,274,SteingroverInPrep
-1950,-2000,-2500,-2800,-4300,-5900,-6150,-6500,-6750,-6800,275,SteingroverInPrep
-550,-3100,-3450,-3700,-3950,-4050,-5300,-5550,-5800,-6050,276,SteingroverInPrep
-50,-1800,-1950,-2600,-2900,-4500,-4500,-5100,-5150,-7050,277,SteingroverInPrep
-350,-1800,-3300,-3350,-4850,-5050,-5200,-5550,-5800,-7150,278,SteingroverInPrep
-50,-650,-2150,-3500,-3550,-5500,-5800,-6050,-6400,-6700,279,SteingroverInPrep
-1650,-2900,-2900,-4050,-4200,-4400,-4700,-4800,-4950,-5700,280,SteingroverInPrep
-300,-2550,-2600,-4100,-4300,-5850,-6200,-7800,-7850,-9350,281,SteingroverInPrep
-1500,-2050,-3600,-4900,-5400,-5450,-6950,-7300,-7650,-9200,282,SteingroverInPrep
-1550,-2050,-2350,-4200,-4250,-4500,-5800,-8100,-8200,-8650,283,SteingroverInPrep
-1900,-2150,-2700,-3000,-4550,-6150,-6250,-6300,-6600,-8050,284,SteingroverInPrep
-400,-1850,-3100,-3750,-3800,-4150,-4450,-4650,-4900,-5150,285,SteingroverInPrep
-1400,-1800,-3650,-4050,-4100,-5400,-5900,-6150,-7850,-9200,286,SteingroverInPrep
-300,-550,-800,-1050,-1300,-2550,-3050,-3300,-3550,-3800,287,SteingroverInPrep
-350,-3200,-3450,-4900,-5150,-5400,-7900,-7900,-8550,-11050,288,SteingroverInPrep
-550,-900,-1050,-1100,-1200,-1600,-1900,-2050,-3800,-4400,289,SteingroverInPrep
-1450,-2050,-2300,-3050,-4750,-4800,-5150,-7050,-7550,-8100,290,SteingroverInPrep
-1900,-2200,-2450,-2700,-3950,-4250,-4500,-4800,-5100,-5350,291,SteingroverInPrep
