,Wins_10,Wins_20,Wins_30,Wins_40,Wins_50,Wins_60,Wins_70,Wins_80,Wins_90,Wins_100,Subj,Study
221,750.0,800.0,850.0,750.0,800.0,800.0,750.0,700.0,800.0,800.0,222,SteingroverInPrep
222,900.0,900.0,850.0,650.0,800.0,800.0,900.0,600.0,600.0,700.0,223,SteingroverInPrep
223,750.0,500.0,750.0,1000.0,1000.0,750.0,500.0,550.0,1000.0,550.0,224,SteingroverInPrep
224,900.0,800.0,600.0,550.0,500.0,550.0,500.0,550.0,500.0,500.0,225,SteingroverInPrep
225,800.0,950.0,800.0,950.0,850.0,850.0,1000.0,900.0,650.0,950.0,226,SteingroverInPrep
226,900.0,800.0,500.0,750.0,850.0,850.0,950.0,700.0,800.0,850.0,227,SteingroverInPrep
227,750.0,600.0,500.0,650.0,1000.0,950.0,600.0,1000.0,850.0,700.0,228,SteingroverInPrep
228,750.0,550.0,900.0,900.0,850.0,500.0,900.0,650.0,600.0,600.0,229,SteingroverInPrep
229,800.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,230,SteingroverInPrep
230,1000.0,500.0,750.0,500.0,600.0,600.0,600.0,650.0,500.0,600.0,231,SteingroverInPrep
231,650.0,650.0,950.0,1000.0,1000.0,650.0,1000.0,950.0,1000.0,1000.0,232,SteingroverInPrep
232,750.0,800.0,800.0,1000.0,1000.0,550.0,500.0,500.0,500.0,500.0,233,SteingroverInPrep
233,800.0,850.0,800.0,750.0,750.0,850.0,500.0,500.0,750.0,500.0,234,SteingroverInPrep
234,750.0,950.0,850.0,900.0,1000.0,750.0,500.0,500.0,650.0,900.0,235,SteingroverInPrep
235,850.0,850.0,900.0,1000.0,600.0,800.0,650.0,800.0,800.0,550.0,236,SteingroverInPrep
236,900.0,850.0,850.0,1000.0,600.0,500.0,500.0,500.0,500.0,500.0,237,SteingroverInPrep
237,850.0,750.0,750.0,800.0,650.0,850.0,700.0,750.0,700.0,700.0,238,SteingroverInPrep
238,850.0,950.0,850.0,750.0,750.0,1000.0,800.0,800.0,650.0,700.0,239,SteingroverInPrep
239,700.0,600.0,800.0,1000.0,700.0,500.0,500.0,500.0,500.0,500.0,240,SteingroverInPrep
240,850.0,800.0,700.0,750.0,850.0,800.0,800.0,700.0,600.0,850.0,241,SteingroverInPrep
241,800.0,750.0,700.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,242,SteingroverInPrep
242,850.0,950.0,850.0,900.0,750.0,800.0,750.0,650.0,750.0,650.0,243,SteingroverInPrep
243,950.0,1000.0,750.0,950.0,1000.0,950.0,1000.0,900.0,850.0,950.0,244,SteingroverInPrep
244,650.0,750.0,750.0,800.0,750.0,750.0,700.0,600.0,750.0,800.0,245,SteingroverInPrep
245,750.0,850.0,800.0,750.0,550.0,500.0,1000.0,550.0,500.0,500.0,246,SteingroverInPrep
246,850.0,800.0,950.0,1000.0,800.0,800.0,800.0,550.0,600.0,650.0,247,SteingroverInPrep
247,800.0,650.0,500.0,500.0,550.0,550.0,550.0,500.0,500.0,500.0,248,SteingroverInPrep
248,850.0,800.0,750.0,950.0,700.0,850.0,850.0,900.0,900.0,950.0,249,SteingroverInPrep
249,800.0,650.0,850.0,800.0,750.0,600.0,850.0,600.0,550.0,600.0,250,SteingroverInPrep
250,700.0,800.0,1000.0,900.0,950.0,850.0,700.0,850.0,800.0,950.0,251,SteingroverInPrep
251,1000.0,500.0,600.0,1000.0,800.0,600.0,850.0,700.0,500.0,950.0,252,SteingroverInPrep
252,850.0,500.0,950.0,1000.0,850.0,1000.0,1000.0,1000.0,1000.0,500.0,253,SteingroverInPrep
253,600.0,650.0,550.0,600.0,500.0,500.0,500.0,550.0,500.0,500.0,254,SteingroverInPrep
254,800.0,750.0,700.0,800.0,750.0,700.0,800.0,750.0,700.0,800.0,255,SteingroverInPrep
255,850.0,750.0,800.0,700.0,800.0,500.0,500.0,500.0,500.0,500.0,256,SteingroverInPrep
256,900.0,1000.0,900.0,700.0,1000.0,900.0,750.0,700.0,750.0,950.0,257,SteingroverInPrep
257,800.0,750.0,550.0,500.0,500.0,500.0,500.0,550.0,500.0,500.0,258,SteingroverInPrep
258,800.0,850.0,850.0,650.0,750.0,500.0,750.0,750.0,550.0,650.0,259,SteingroverInPrep
259,850.0,700.0,800.0,550.0,850.0,800.0,850.0,700.0,700.0,800.0,260,SteingroverInPrep
260,900.0,850.0,900.0,1000.0,950.0,800.0,950.0,900.0,800.0,1000.0,261,SteingroverInPrep
261,1000.0,1000.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,262,SteingroverInPrep
262,750.0,750.0,800.0,650.0,900.0,700.0,650.0,750.0,500.0,500.0,263,SteingroverInPrep
263,800.0,800.0,750.0,750.0,850.0,650.0,950.0,700.0,750.0,700.0,264,SteingroverInPrep
264,850.0,750.0,900.0,950.0,850.0,750.0,850.0,800.0,750.0,700.0,265,SteingroverInPrep
265,600.0,900.0,900.0,700.0,900.0,700.0,550.0,700.0,850.0,850.0,266,SteingroverInPrep
266,800.0,850.0,900.0,800.0,750.0,750.0,500.0,850.0,650.0,600.0,267,SteingroverInPrep
267,800.0,750.0,700.0,800.0,950.0,750.0,650.0,1000.0,950.0,550.0,268,SteingroverInPrep
268,900.0,550.0,600.0,500.0,500.0,500.0,500.0,550.0,500.0,500.0,269,SteingroverInPrep
269,900.0,850.0,950.0,1000.0,1000.0,1000.0,900.0,900.0,950.0,950.0,270,SteingroverInPrep
270,850.0,800.0,750.0,750.0,1000.0,900.0,650.0,850.0,800.0,750.0,271,SteingroverInPrep
271,950.0,950.0,800.0,550.0,500.0,500.0,500.0,550.0,500.0,500.0,272,SteingroverInPrep
272,800.0,750.0,550.0,750.0,700.0,550.0,600.0,600.0,500.0,500.0,273,SteingroverInPrep
273,750.0,700.0,800.0,850.0,850.0,800.0,800.0,850.0,750.0,850.0,274,SteingroverInPrep
274,850.0,800.0,750.0,750.0,700.0,650.0,750.0,700.0,850.0,650.0,275,SteingroverInPrep
275,900.0,950.0,500.0,500.0,500.0,700.0,950.0,600.0,500.0,500.0,276,SteingroverInPrep
276,800.0,800.0,650.0,750.0,650.0,700.0,500.0,800.0,600.0,800.0,277,SteingroverInPrep
277,850.0,850.0,800.0,700.0,650.0,500.0,700.0,600.0,500.0,650.0,278,SteingroverInPrep
278,800.0,800.0,950.0,850.0,550.0,600.0,700.0,550.0,750.0,500.0,279,SteingroverInPrep
279,850.0,1000.0,850.0,900.0,500.0,550.0,500.0,500.0,500.0,550.0,280,SteingroverInPrep
280,900.0,700.0,800.0,950.0,700.0,950.0,950.0,800.0,750.0,750.0,281,SteingroverInPrep
281,950.0,800.0,950.0,900.0,850.0,700.0,850.0,800.0,750.0,850.0,282,SteingroverInPrep
282,750.0,750.0,750.0,1000.0,750.0,700.0,650.0,1000.0,500.0,900.0,283,SteingroverInPrep
283,850.0,650.0,800.0,850.0,650.0,850.0,650.0,600.0,700.0,600.0,284,SteingroverInPrep
284,800.0,850.0,900.0,850.0,600.0,550.0,500.0,500.0,500.0,550.0,285,SteingroverInPrep
285,850.0,700.0,750.0,650.0,950.0,900.0,900.0,650.0,650.0,850.0,286,SteingroverInPrep
286,600.0,500.0,500.0,500.0,600.0,800.0,500.0,500.0,500.0,500.0,287,SteingroverInPrep
287,900.0,900.0,950.0,950.0,800.0,750.0,850.0,900.0,850.0,1000.0,288,SteingroverInPrep
288,750.0,500.0,500.0,500.0,500.0,600.0,700.0,650.0,700.0,750.0,289,SteingroverInPrep
289,750.0,750.0,750.0,800.0,750.0,750.0,750.0,750.0,800.0,950.0,290,SteingroverInPrep
290,600.0,650.0,750.0,750.0,800.0,550.0,500.0,500.0,500.0,550.0,291,SteingroverInPrep
