Losses_10,Losses_20,Losses_30,Losses_40,Losses_50,Losses_60,Losses_70,Losses_80,Losses_90,Losses_100,Subj,Study
-50,-1500,-2050,-4150,-4850,-4950,-7175,-7575,-8075,-8400,317,Wood
-200,-550,-800,-2750,-3450,-5225,-7075,-7275,-9325,-9900,318,Wood
-150,-700,-1050,-2700,-5100,-5400,-7625,-8000,-8300,-10300,319,Wood
-150,-550,-2300,-2750,-4950,-5425,-7625,-7975,-8575,-8925,320,Wood
-150,-200,-2050,-2300,-4150,-4525,-7000,-7475,-9475,-9850,321,Wood
-200,-1750,-2000,-3850,-4350,-5000,-7075,-7650,-8100,-8700,322,Wood
-200,-500,-2000,-2550,-4450,-4850,-5675,-7750,-8150,-10475,323,Wood
0,-200,-1850,-2600,-4525,-4975,-5325,-8050,-8125,-8300,324,Wood
-450,-450,-750,-1275,-2625,-2925,-3675,-4125,-4200,-6275,325,Wood
-150,-1700,-3250,-3750,-3850,-4175,-6325,-6925,-7025,-7525,326,Wood
-150,-550,-2050,-2650,-4850,-4875,-6950,-7450,-7550,-9625,327,Wood
-200,-750,-1750,-3100,-3650,-5725,-6475,-7625,-9800,-11200,328,Wood
-50,-450,-800,-2150,-3900,-5925,-6625,-7000,-9300,-9850,329,Wood
-50,-250,-700,-2425,-3100,-3150,-5400,-5925,-6025,-8675,330,Wood
0,-300,-800,-2300,-4500,-4950,-7250,-7900,-7925,-8675,331,Wood
-150,-700,-1250,-2550,-3275,-3550,-4050,-4375,-4625,-5200,332,Wood
-200,-500,-1250,-1650,-2325,-2675,-3475,-4825,-5375,-6050,333,Wood
-200,-550,-1850,-2650,-4525,-5200,-7175,-7575,-8550,-10875,334,Wood
-150,-1700,-2200,-4450,-5200,-5325,-5875,-8250,-8550,-8950,335,Wood
-200,-1750,-2050,-2750,-4725,-5325,-5600,-6125,-8725,-9450,336,Wood
-200,-250,-1800,-2400,-4525,-4600,-5525,-5800,-8000,-8600,337,Wood
-150,-1250,-2900,-4900,-5150,-7350,-9600,-10550,-12800,-14700,338,Wood
-150,-200,-2050,-3550,-3875,-4475,-4900,-4925,-7425,-7525,339,Wood
-150,-550,-850,-2775,-3475,-5250,-5525,-7800,-8400,-8725,340,Wood
-150,-500,-2250,-2900,-5100,-5400,-6125,-8250,-8550,-9225,341,Wood
-450,-650,-1200,-2500,-4500,-4950,-5700,-6100,-8325,-8850,342,Wood
-450,-3200,-3350,-3900,-6350,-6750,-7025,-7450,-7825,-7875,343,Wood
-250,-400,-400,-1225,-2825,-3575,-4050,-4525,-4925,-5425,344,Wood
-150,-500,-2050,-2350,-2775,-4875,-4925,-5375,-7925,-8300,345,Wood
-150,-450,-950,-2500,-3175,-5125,-5600,-7725,-8075,-8625,346,Wood
