Wins_10,Wins_20,Wins_30,Wins_40,Wins_50,Wins_60,Wins_70,Wins_80,Wins_90,Wins_100,Subj,Study
800,1660,2380,3220,4120,4800,5645,6440,7270,8080,317,Wood
720,1495,2225,3050,3810,4705,5450,6650,7660,8870,318,Wood
820,1565,2370,3120,3955,4870,5670,6470,7405,8450,319,Wood
770,1540,2420,3110,3935,4785,5670,6540,7260,8150,320,Wood
725,1440,2235,2945,3755,4580,5450,6340,7430,8250,321,Wood
790,1755,2465,3345,3950,4695,5510,6385,7340,8150,322,Wood
720,1540,2330,3120,4015,4725,5530,6450,7350,8265,323,Wood
755,1490,2265,3035,3735,4595,5330,6310,7120,7850,324,Wood
960,1460,2000,2740,3410,4210,4935,5525,6155,6865,325,Wood
870,1810,2530,3275,3860,4500,5165,5910,6510,7145,326,Wood
790,1540,2295,3020,3945,4780,5680,6540,7340,8170,327,Wood
735,1530,2390,3130,3965,4815,5735,6735,7535,8795,328,Wood
485,1360,2165,2800,3590,4625,5505,6390,7320,8210,329,Wood
695,1430,2080,2910,3625,4270,5170,5970,6640,7465,330,Wood
690,1270,2225,2860,3780,4570,5490,6320,6920,7835,331,Wood
900,1565,2270,2925,3525,4100,4865,5495,6240,7005,332,Wood
720,1385,2180,2760,3530,4170,4960,5655,6405,7240,333,Wood
790,1540,2265,3020,3865,4860,5670,6480,7510,8390,334,Wood
900,1800,2595,3400,4240,4845,5630,6380,7240,7860,335,Wood
790,1755,2380,3135,3900,4645,5310,6190,7300,8110,336,Wood
720,1485,2295,2885,3735,4570,5340,6130,7170,7950,337,Wood
770,1800,2780,3735,4410,5570,6735,7895,9150,10450,338,Wood
790,1475,2260,2985,3595,4200,4895,5730,6515,7195,339,Wood
790,1485,2245,3000,3830,4695,5510,6315,7210,8105,340,Wood
770,1575,2425,3175,4035,4820,5630,6370,7240,8190,341,Wood
840,1410,2255,3075,3725,4535,5385,6140,6965,7670,342,Wood
1000,2030,2595,3380,4310,4840,5425,6300,7015,7815,343,Wood
500,1225,1980,2740,3535,4145,4860,5515,6140,6855,344,Wood
900,1640,2260,2835,3405,4430,5010,5680,6770,7645,345,Wood
715,1460,2175,2955,3660,4545,5380,6190,7020,7945,346,Wood
820,1655,2505,3355,4190,5080,5920,6915,7905,8965,347,Wood
830,1475,2235,3040,3890,4685,5585,6650,7600,8330,348,Wood
1010,1535,2035,2670,3345,4215,5010,5695,6415,7150,349,Wood
910,1800,2395,3070,3580,4310,4890,5485,6135,7000,350,Wood
900,1640,2515,3285,4125,4895,5775,6630,7565,8490,351,Wood
1000,1725,2300,2975,3515,4285,4935,5600,6420,7185,352,Wood
870,1630,2470,3140,3945,4630,5410,6030,6780,7405,353,Wood
820,1545,2305,3075,3785,4360,5135,5960,6640,7485,354,Wood
790,1575,2400,3110,3900,4755,5535,6420,7215,7990,355,Wood
720,1495,2225,2995,3815,4655,5375,6315,7160,8025,356,Wood
720,1540,2235,2975,3720,4550,5410,6240,7105,8000,357,Wood
790,1490,2245,3275,3995,4915,5775,6730,7540,8230,358,Wood
685,1490,2190,2850,3535,4315,5120,6005,6795,7520,359,Wood
725,1540,2265,3130,3805,4650,5325,6020,6685,7345,360,Wood
870,1440,2225,2790,3575,4160,5025,5850,6505,7095,361,Wood
750,1475,2295,3070,3895,4535,5145,5800,6600,7335,362,Wood
