,Wins_10,Wins_20,Wins_30,Wins_40,Wins_50,Wins_60,Wins_70,Wins_80,Wins_90,Wins_100,Subj,Study
469,800.0,800.0,900.0,700.0,950.0,700.0,750.0,700.0,750.0,800.0,470,Worthy
470,1000.0,700.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,750.0,471,Worthy
471,700.0,650.0,950.0,650.0,750.0,650.0,650.0,650.0,600.0,850.0,472,Worthy
472,900.0,800.0,650.0,900.0,750.0,750.0,750.0,850.0,700.0,500.0,473,Worthy
473,900.0,950.0,950.0,850.0,950.0,900.0,750.0,850.0,900.0,950.0,474,Worthy
474,1000.0,950.0,500.0,800.0,750.0,700.0,700.0,550.0,850.0,1000.0,475,Worthy
475,750.0,900.0,850.0,800.0,700.0,900.0,800.0,850.0,800.0,700.0,476,Worthy
476,800.0,900.0,750.0,700.0,750.0,750.0,700.0,750.0,700.0,600.0,477,Worthy
477,850.0,950.0,900.0,850.0,600.0,950.0,800.0,950.0,800.0,650.0,478,Worthy
478,750.0,700.0,750.0,650.0,700.0,650.0,700.0,750.0,650.0,700.0,479,Worthy
479,800.0,750.0,800.0,650.0,850.0,800.0,800.0,750.0,850.0,750.0,480,Worthy
480,900.0,900.0,750.0,600.0,800.0,700.0,500.0,500.0,500.0,500.0,481,Worthy
481,750.0,750.0,750.0,800.0,800.0,800.0,800.0,750.0,800.0,750.0,482,Worthy
482,750.0,650.0,800.0,800.0,850.0,750.0,700.0,750.0,750.0,750.0,483,Worthy
483,750.0,800.0,650.0,650.0,650.0,650.0,600.0,750.0,600.0,700.0,484,Worthy
484,800.0,800.0,800.0,700.0,850.0,750.0,750.0,750.0,750.0,750.0,485,Worthy
485,800.0,850.0,800.0,800.0,750.0,800.0,800.0,750.0,800.0,700.0,486,Worthy
486,900.0,750.0,750.0,650.0,750.0,750.0,750.0,700.0,700.0,600.0,487,Worthy
487,750.0,600.0,800.0,700.0,650.0,850.0,800.0,800.0,700.0,700.0,488,Worthy
488,950.0,950.0,950.0,1000.0,950.0,1000.0,1000.0,1000.0,1000.0,700.0,489,Worthy
489,800.0,750.0,650.0,800.0,700.0,700.0,700.0,800.0,950.0,750.0,490,Worthy
490,750.0,700.0,700.0,800.0,700.0,700.0,750.0,750.0,800.0,700.0,491,Worthy
491,850.0,700.0,900.0,600.0,500.0,900.0,850.0,850.0,750.0,500.0,492,Worthy
492,950.0,750.0,550.0,700.0,950.0,700.0,900.0,800.0,750.0,850.0,493,Worthy
493,800.0,750.0,750.0,650.0,750.0,800.0,700.0,750.0,800.0,750.0,494,Worthy
494,800.0,750.0,700.0,600.0,500.0,500.0,500.0,500.0,500.0,500.0,495,Worthy
495,700.0,850.0,750.0,750.0,750.0,750.0,700.0,800.0,650.0,700.0,496,Worthy
496,950.0,950.0,800.0,650.0,1000.0,600.0,1000.0,1000.0,900.0,500.0,497,Worthy
497,800.0,800.0,700.0,650.0,800.0,750.0,750.0,650.0,800.0,500.0,498,Worthy
498,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,850.0,499,Worthy
499,850.0,700.0,750.0,750.0,850.0,750.0,700.0,700.0,550.0,700.0,500,Worthy
500,500.0,600.0,950.0,650.0,600.0,500.0,500.0,650.0,800.0,700.0,501,Worthy
501,800.0,850.0,750.0,750.0,800.0,750.0,850.0,650.0,900.0,850.0,502,Worthy
502,750.0,800.0,750.0,750.0,750.0,800.0,750.0,750.0,800.0,700.0,503,Worthy
503,700.0,900.0,550.0,800.0,500.0,500.0,750.0,650.0,650.0,700.0,504,Worthy
